,unemployment
09/18/1982,559500
09/25/1982,535000
10/02/1982,565600
10/09/1982,638100
10/16/1982,540300
10/23/1982,577600
10/30/1982,576800
11/06/1982,604800
11/13/1982,546700
11/20/1982,650400
11/27/1982,574100
12/04/1982,709400
12/11/1982,638200
12/18/1982,598000
12/25/1982,653600
01/01/1983,745100
01/08/1983,976600
01/15/1983,773600
01/22/1983,650600
01/29/1983,597700
02/05/1983,594200
02/12/1983,525100
02/19/1983,506300
02/26/1983,448700
03/05/1983,497400
03/12/1983,459700
03/19/1983,427500
03/26/1983,422100
04/02/1983,423000
04/09/1983,509700
04/16/1983,464800
04/23/1983,431300
04/30/1983,399900
05/07/1983,435000
05/14/1983,385200
05/21/1983,380300
05/28/1983,373000
06/04/1983,351100
06/11/1983,390100
06/18/1983,369200
06/25/1983,383500
07/02/1983,397400
07/09/1983,451900
07/16/1983,459400
07/23/1983,428300
07/30/1983,383400
08/06/1983,382500
08/13/1983,382300
08/20/1983,356900
08/27/1983,323600
09/03/1983,328800
09/10/1983,288700
09/17/1983,326900
09/24/1983,324700
10/01/1983,318500
10/08/1983,390500
10/15/1983,319900
10/22/1983,354900
10/29/1983,356400
11/05/1983,398200
11/12/1983,347300
11/19/1983,431900
11/26/1983,362900
12/03/1983,458400
12/10/1983,442900
12/17/1983,414600
12/24/1983,496800
12/31/1983,558900
01/07/1984,621600
01/14/1984,637900
01/21/1984,475100
01/28/1984,448500
02/04/1984,408400
02/11/1984,381500
02/18/1984,349300
02/25/1984,329100
03/03/1984,350500
03/10/1984,344000
03/17/1984,323500
03/24/1984,317600
03/31/1984,291400
04/07/1984,390300
04/14/1984,330800
04/21/1984,326500
04/28/1984,309300
05/05/1984,318900
05/12/1984,312100
05/19/1984,294200
05/26/1984,292700
06/02/1984,268700
06/09/1984,333800
06/16/1984,309900
06/23/1984,316800
06/30/1984,329000
07/07/1984,432500
07/14/1984,435900
07/21/1984,396200
07/28/1984,343800
08/04/1984,348100
08/11/1984,328100
08/18/1984,321000
08/25/1984,303300
09/01/1984,303500
09/08/1984,289300
09/15/1984,320700
09/22/1984,313200
09/29/1984,304700
10/06/1984,373300
10/13/1984,353200
10/20/1984,378700
10/27/1984,380500
11/03/1984,413400
11/10/1984,397500
11/17/1984,370800
11/24/1984,387000
12/01/1984,494700
12/08/1984,477900
12/15/1984,443700
12/22/1984,482300
12/29/1984,527500
01/05/1985,568300
01/12/1985,770000
01/19/1985,537700
01/26/1985,478300
02/02/1985,452400
02/09/1985,473300
02/16/1985,404700
02/23/1985,379000
03/02/1985,377300
03/09/1985,389200
03/16/1985,360500
03/23/1985,346700
03/30/1985,329100
04/06/1985,398000
04/13/1985,397500
04/20/1985,351800
04/27/1985,324700
05/04/1985,335600
05/11/1985,339100
05/18/1985,324900
05/25/1985,328500
06/01/1985,293500
06/08/1985,368900
06/15/1985,339200
06/22/1985,339500
06/29/1985,349800
07/06/1985,409500
07/13/1985,481500
07/20/1985,413700
07/27/1985,358700
08/03/1985,365800
08/10/1985,358200
08/17/1985,319400
08/24/1985,314800
08/31/1985,317600
09/07/1985,304700
09/14/1985,332900
09/21/1985,317600
09/28/1985,301600
10/05/1985,355600
10/12/1985,358000
10/19/1985,331000
10/26/1985,375700
11/02/1985,375300
11/09/1985,404100
11/16/1985,380300
11/23/1985,423100
11/30/1985,384700
12/07/1985,504200
12/14/1985,443400
12/21/1985,458200
12/28/1985,548200
01/04/1986,547500
01/11/1986,803900
01/18/1986,568800
01/25/1986,395700
02/01/1986,425400
02/08/1986,438100
02/15/1986,374200
02/22/1986,382200
03/01/1986,381200
03/08/1986,371700
03/15/1986,361600
03/22/1986,363100
03/29/1986,333300
04/05/1986,366100
04/12/1986,386100
04/19/1986,348700
04/26/1986,335100
05/03/1986,333600
05/10/1986,343800
05/17/1986,319000
05/24/1986,321700
05/31/1986,278700
06/07/1986,342200
06/14/1986,324700
06/21/1986,327400
06/28/1986,336100
07/05/1986,377400
07/12/1986,456200
07/19/1986,402400
07/26/1986,370700
08/02/1986,370900
08/09/1986,376900
08/16/1986,326000
08/23/1986,310200
08/30/1986,307100
09/06/1986,283700
09/13/1986,320800
09/20/1986,315800
09/27/1986,294200
10/04/1986,328900
10/11/1986,357700
10/18/1986,313000
10/25/1986,332400
11/01/1986,334100
11/08/1986,357600
11/15/1986,347400
11/22/1986,410600
11/29/1986,350900
12/06/1986,462700
12/13/1986,438600
12/20/1986,423800
12/27/1986,483900
01/03/1987,483977
01/10/1987,710493
01/17/1987,545768
01/24/1987,412977
01/31/1987,435743
02/07/1987,444240
02/14/1987,359219
02/21/1987,332930
02/28/1987,355357
03/07/1987,343065
03/14/1987,321153
03/21/1987,313104
03/28/1987,288648
04/04/1987,308940
04/11/1987,344364
04/18/1987,305201
04/25/1987,285566
05/02/1987,277726
05/09/1987,276773
05/16/1987,283832
05/23/1987,286150
05/30/1987,242793
06/06/1987,299672
06/13/1987,281043
06/20/1987,285191
06/27/1987,294288
07/04/1987,321855
07/11/1987,402706
07/18/1987,361491
07/25/1987,339756
08/01/1987,309433
08/08/1987,296403
08/15/1987,256647
08/22/1987,245058
08/29/1987,243829
09/05/1987,255589
09/12/1987,210375
09/19/1987,243651
09/26/1987,242206
10/03/1987,244736
10/10/1987,291075
10/17/1987,242157
10/24/1987,271190
10/31/1987,261036
11/07/1987,306340
11/14/1987,286334
11/21/1987,354037
11/28/1987,288614
12/05/1987,412297
12/12/1987,372869
12/19/1987,384763
12/26/1987,397287
01/02/1988,465503
01/09/1988,654620
01/16/1988,577975
01/23/1988,412685
01/30/1988,394776
02/06/1988,380906
02/13/1988,334833
02/20/1988,315497
02/27/1988,324517
03/05/1988,312409
03/12/1988,294321
03/19/1988,275545
03/26/1988,269000
04/02/1988,256607
04/09/1988,319713
04/16/1988,273160
04/23/1988,272440
04/30/1988,247619
05/07/1988,267315
05/14/1988,257101
05/21/1988,259640
05/28/1988,255852
06/04/1988,235308
06/11/1988,268052
06/18/1988,264100
06/25/1988,268770
07/02/1988,290079
07/09/1988,335780
07/16/1988,377872
07/23/1988,384920
07/30/1988,311475
08/06/1988,293718
08/13/1988,261066
08/20/1988,253359
08/27/1988,241809
09/03/1988,243944
09/10/1988,220226
09/17/1988,247250
09/24/1988,236230
10/01/1988,226453
10/08/1988,276732
10/15/1988,237722
10/22/1988,264201
10/29/1988,265794
11/05/1988,293412
11/12/1988,257201
11/19/1988,335818
11/26/1988,281841
12/03/1988,391406
12/10/1988,354028
12/17/1988,354768
12/24/1988,413175
12/31/1988,474226
01/07/1989,544138
01/14/1989,519727
01/21/1989,364499
01/28/1989,361331
02/04/1989,340647
02/11/1989,365301
02/18/1989,317676
02/25/1989,288690
03/04/1989,333669
03/11/1989,325019
03/18/1989,291112
03/25/1989,276369
04/01/1989,275799
04/08/1989,321723
04/15/1989,275240
04/22/1989,271002
04/29/1989,247646
05/06/1989,275425
05/13/1989,275507
05/20/1989,260543
05/27/1989,266146
06/03/1989,243246
06/10/1989,295499
06/17/1989,285589
06/24/1989,295338
07/01/1989,319577
07/08/1989,364594
07/15/1989,423847
07/22/1989,365026
07/29/1989,320773
08/05/1989,311584
08/12/1989,291429
08/19/1989,261419
08/26/1989,254488
09/02/1989,259540
09/09/1989,239989
09/16/1989,271903
09/23/1989,262895
09/30/1989,265310
10/07/1989,375972
10/14/1989,284584
10/21/1989,315473
10/28/1989,317538
11/04/1989,336759
11/11/1989,303556
11/18/1989,377814
11/25/1989,316458
12/02/1989,443684
12/09/1989,426514
12/16/1989,420795
12/23/1989,534261
12/30/1989,515926
01/06/1990,581679
01/13/1990,730995
01/20/1990,485424
01/27/1990,440748
02/03/1990,432922
02/10/1990,429764
02/17/1990,364616
02/24/1990,341969
03/03/1990,361937
03/10/1990,355935
03/17/1990,325164
03/24/1990,306391
03/31/1990,297117
04/07/1990,372079
04/14/1990,315624
04/21/1990,324936
04/28/1990,294785
05/05/1990,304160
05/12/1990,299266
05/19/1990,287082
05/26/1990,295476
06/02/1990,273910
06/09/1990,321727
06/16/1990,305690
06/23/1990,316999
06/30/1990,326407
07/07/1990,419256
07/14/1990,448952
07/21/1990,407676
07/28/1990,353149
08/04/1990,336997
08/11/1990,330678
08/18/1990,313804
08/25/1990,302267
09/01/1990,305510
09/08/1990,277768
09/15/1990,323246
09/22/1990,306549
09/29/1990,308080
10/06/1990,361538
10/13/1990,356203
10/20/1990,387444
10/27/1990,394598
11/03/1990,424771
11/10/1990,463874
11/17/1990,433003
11/24/1990,422676
12/01/1990,568583
12/08/1990,574323
12/15/1990,523403
12/22/1990,637449
12/29/1990,649471
01/05/1991,651775
01/12/1991,872742
01/19/1991,691092
01/26/1991,511360
02/02/1991,563060
02/09/1991,574760
02/16/1991,498200
02/23/1991,492325
03/02/1991,504023
03/09/1991,514410
03/16/1991,470801
03/23/1991,477877
03/30/1991,412904
04/06/1991,448082
04/13/1991,459364
04/20/1991,433912
04/27/1991,385153
05/04/1991,384458
05/11/1991,382113
05/18/1991,366492
05/25/1991,365117
06/01/1991,320632
06/08/1991,397682
06/15/1991,369074
06/22/1991,371232
06/29/1991,370372
07/06/1991,427161
07/13/1991,517888
07/20/1991,454655
07/27/1991,408098
08/03/1991,397522
08/10/1991,385740
08/17/1991,344969
08/24/1991,329287
08/31/1991,328040
09/07/1991,302187
09/14/1991,342419
09/21/1991,333110
09/28/1991,334206
10/05/1991,366862
10/12/1991,388370
10/19/1991,344189
10/26/1991,380253
11/02/1991,427789
11/09/1991,473432
11/16/1991,417766
11/23/1991,503032
11/30/1991,433180
12/07/1991,610113
12/14/1991,554059
12/21/1991,555747
12/28/1991,625772
01/04/1992,652046
01/11/1992,882118
01/18/1992,687914
01/25/1992,504838
02/01/1992,508594
02/08/1992,537238
02/15/1992,469794
02/22/1992,429723
02/29/1992,454987
03/07/1992,434426
03/14/1992,417282
03/21/1992,413180
03/28/1992,370883
04/04/1992,393384
04/11/1992,412948
04/18/1992,366621
04/25/1992,364454
05/02/1992,363794
05/09/1992,364100
05/16/1992,341425
05/23/1992,343432
05/30/1992,305080
06/06/1992,374978
06/13/1992,369067
06/20/1992,369995
06/27/1992,370373
07/04/1992,395505
07/11/1992,506050
07/18/1992,452468
07/25/1992,554590
08/01/1992,382138
08/08/1992,366092
08/15/1992,322729
08/22/1992,312436
08/29/1992,309806
09/05/1992,339006
09/12/1992,299189
09/19/1992,345093
09/26/1992,315455
10/03/1992,326938
10/10/1992,353504
10/17/1992,310235
10/24/1992,333005
10/31/1992,331922
11/07/1992,392213
11/14/1992,348011
11/21/1992,401972
11/28/1992,317218
12/05/1992,449726
12/12/1992,424677
12/19/1992,396619
12/26/1992,392612
01/02/1993,487466
01/09/1993,704930
01/16/1993,558516
01/23/1993,410944
01/30/1993,397000
02/06/1993,384707
02/13/1993,344520
02/20/1993,345116
02/27/1993,367412
