,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
FAST,39,46.34,12.04746780604112,-2.439429398168929,28.133463947826453,-7.332125376139553,4.938641722971824,0.2564102564102564
FISV,34,39.9,6.006311064018618,-2.3036514481704797,16.127206769542024,-5.809977836686797,2.607300279210523,0.4117647058823529
FOXA,10,-10.55,4.887300729630784,-4.876665201516356,9.357257718174905,-7.292840739447537,1.0021809018406926,0.4
FOX,12,-10.41,5.996329400822937,-4.148498351398269,11.424976408823007,-6.963679249970156,1.4454216665656499,0.3333333333333333
GILD,43,-41.37,4.666731922855209,-2.8808019450386673,22.885902962788652,-8.61478898853485,1.6199419508488877,0.23255813953488372
IDXX,25,345.07,25.983506012742748,-3.10309866821084,51.92718119021427,-8.266375478520239,8.37340632411283,0.36
ILMN,34,16.91,10.547234595142921,-3.6993469778264654,35.81172253317402,-13.698799689725982,2.8511071436018423,0.3235294117647059
INCY,45,-45.06,11.03051909703114,-4.383035928001678,43.96482829070458,-9.633331100483433,2.516638986817568,0.2222222222222222
INTC,27,33.19,8.377030235975807,-4.061170646152166,26.41662113879717,-17.26902005440628,2.0627131844146427,0.4444444444444444
INTU,34,74.93,8.91476698304243,-2.482019171304834,24.18171799051032,-7.1315369329058464,3.591739776270868,0.38235294117647056
ISRG,22,168.97,17.022838795505663,-2.74985167422715,45.18478006071918,-5.788469162570564,6.190457090850166,0.4090909090909091
JD,35,182.39,21.476530287825938,-3.074523913413417,52.37857529281007,-11.63972518321339,6.985318993333876,0.2857142857142857
KDP,33,45.3,9.488107715844952,-2.114586917104795,35.63416857046675,-8.034189355746413,4.486979295623222,0.30303030303030304
KLAC,21,140.22,22.821775658681748,-3.4748125462990664,47.029700547594814,-8.041862022611712,6.567771744403489,0.3333333333333333
KHC,35,-24.19,13.049397394470686,-3.2070827144805927,35.77238388773449,-25.240632281641272,4.068930724970128,0.17142857142857143
LRCX,24,210.31,25.402804503334373,-4.991558501063527,62.829689388429074,-15.769471439222016,5.089152916453232,0.375
LULU,30,216.24,18.280323358069325,-4.074921014969378,53.88314724507861,-23.43892008284394,4.486055874682198,0.4
MAR,35,58.99,17.15824593963914,-3.3199865640097626,48.61048482771502,-9.772981537700087,5.168167282856716,0.2571428571428571
MRVL,30,178.38,16.01370460343504,-3.517992488899742,53.39816876646499,-9.17180127410261,4.551943943587939,0.4
MTCH,32,432.66,17.067816364794815,-3.047335650387675,73.47673179172665,-12.271357348424273,5.600898070622279,0.46875
MXIM,40,9.74,7.154248790114509,-2.1754250695430097,24.723996343391043,-7.540936300376233,3.2886670703015284,0.275
MELI,24,420.18,33.59869635386503,-4.913478836678535,84.04797124263735,-16.985433049793663,6.838066769119826,0.375
MCHP,33,85.11,9.4036810936886,-3.693242933376094,29.90284055769823,-8.295539690562691,2.54618536157123,0.45454545454545453
MU,27,148.68,23.07602425795271,-4.451559825727873,64.91227653554247,-13.119028660771171,5.183806387276746,0.3333333333333333
MSFT,30,83.33,15.418853047454146,-2.344756086438947,23.366862343619708,-8.550128795472457,6.5758878446377045,0.26666666666666666
